,FileNames,Label_FileNames,Label,Total_Organoids,Image
0,0002_resize.jpg,0002_resize.txt,[[0.       0.478516 0.429688 0.136719 0.148438]],1,"[[[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [203 203 203]
  [204 204 204]
  [203 203 203]]

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [204 204 204]
  [204 204 204]
  [203 203 203]]

 [[206 206 206]
  [206 206 206]
  [206 206 206]
  ...
  [203 203 203]
  [203 203 203]
  [202 202 202]]

 ...

 [[175 175 175]
  [177 177 177]
  [176 176 176]
  ...
  [164 164 164]
  [160 160 160]
  [154 154 154]]

 [[174 174 174]
  [178 178 178]
  [177 177 177]
  ...
  [164 164 164]
  [161 161 161]
  [157 157 157]]

 [[175 175 175]
  [177 177 177]
  [177 177 177]
  ...
  [163 163 163]
  [162 162 162]
  [160 160 160]]]"
1,0003_resize.jpg,0003_resize.txt,"[[0.       0.667969 0.410156 0.070312 0.109375]
 [0.       0.255859 0.476562 0.074219 0.109375]]",2,"[[[139 139 139]
  [124 124 124]
  [126 126 126]
  ...
  [249 249 249]
  [251 251 251]
  [251 251 251]]

 [[141 141 141]
  [134 134 134]
  [130 130 130]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[151 151 151]
  [138 138 138]
  [151 151 151]
  ...
  [249 249 249]
  [252 252 252]
  [254 254 254]]

 ...

 [[253 253 253]
  [249 249 249]
  [241 241 241]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[230 230 230]
  [241 241 241]
  [233 233 233]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[215 215 215]
  [227 227 227]
  [237 237 237]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]"
2,0004_resize.jpg,0004_resize.txt,"[[0.       0.357422 0.765625 0.113281 0.140625]
 [0.       0.351562 0.953125 0.1875   0.085938]
 [0.       0.681641 0.025391 0.113281 0.042969]
 [0.       0.876953 0.050781 0.097656 0.09375 ]]",4,"[[[133 133 133]
  [131 131 131]
  [135 135 135]
  ...
  [116 116 116]
  [115 115 115]
  [115 115 115]]

 [[133 133 133]
  [132 132 132]
  [129 129 129]
  ...
  [116 116 116]
  [114 114 114]
  [113 113 113]]

 [[137 137 137]
  [132 132 132]
  [128 128 128]
  ...
  [114 114 114]
  [113 113 113]
  [110 110 110]]

 ...

 [[169 169 169]
  [166 166 166]
  [161 161 161]
  ...
  [134 134 134]
  [104 104 104]
  [120 120 120]]

 [[174 174 174]
  [163 163 163]
  [165 165 165]
  ...
  [120 120 120]
  [113 113 113]
  [109 109 109]]

 [[175 175 175]
  [165 165 165]
  [160 160 160]
  ...
  [117 117 117]
  [105 105 105]
  [109 109 109]]]"
3,0005_resize.jpg,0005_resize.txt,"[[0.       0.617188 0.652344 0.109375 0.171875]
 [0.       0.412109 0.373047 0.128906 0.160156]
 [0.       0.722656 0.201172 0.085938 0.128906]
 [0.       0.447266 0.173828 0.089844 0.089844]
 [0.       0.314453 0.509766 0.136719 0.136719]]",5,"[[[136 136 136]
  [133 133 133]
  [129 129 129]
  ...
  [159 159 159]
  [157 157 157]
  [136 136 136]]

 [[130 130 130]
  [127 127 127]
  [128 128 128]
  ...
  [157 157 157]
  [159 159 159]
  [140 140 140]]

 [[139 139 139]
  [132 132 132]
  [124 124 124]
  ...
  [164 164 164]
  [150 150 150]
  [135 135 135]]

 ...

 [[ 97  97  97]
  [ 99  99  99]
  [ 83  83  83]
  ...
  [109 109 109]
  [118 118 118]
  [131 131 131]]

 [[113 113 113]
  [126 126 126]
  [119 119 119]
  ...
  [ 86  86  86]
  [101 101 101]
  [111 111 111]]

 [[110 110 110]
  [114 114 114]
  [128 128 128]
  ...
  [ 63  63  63]
  [ 83  83  83]
  [ 75  75  75]]]"
4,0006_resize.jpg,0006_resize.txt,"[[0.       0.826172 0.462891 0.160156 0.175781]
 [0.       0.519531 0.306641 0.125    0.214844]
 [0.       0.21875  0.464844 0.085938 0.085938]
 [0.       0.240234 0.693359 0.128906 0.152344]
 [0.       0.099609 0.714844 0.121094 0.140625]]",5,"[[[223 223 223]
  [222 222 222]
  [217 217 217]
  ...
  [190 190 190]
  [191 191 191]
  [191 191 191]]

 [[212 212 212]
  [214 214 214]
  [227 227 227]
  ...
  [195 195 195]
  [192 192 192]
  [190 190 190]]

 [[211 211 211]
  [210 210 210]
  [226 226 226]
  ...
  [194 194 194]
  [185 185 185]
  [192 192 192]]

 ...

 [[210 210 210]
  [215 215 215]
  [196 196 196]
  ...
  [210 210 210]
  [227 227 227]
  [205 205 205]]

 [[206 206 206]
  [214 214 214]
  [216 216 216]
  ...
  [203 203 203]
  [221 221 221]
  [218 218 218]]

 [[205 205 205]
  [207 207 207]
  [222 222 222]
  ...
  [213 213 213]
  [215 215 215]
  [218 218 218]]]"
5,0007_resize.jpg,0007_resize.txt,"[[0.       0.902344 0.136719 0.117188 0.234375]
 [0.       0.744141 0.535156 0.082031 0.132812]
 [0.       0.626953 0.6875   0.144531 0.148438]
 [0.       0.59375  0.894531 0.171875 0.210938]
 [0.       0.105469 0.667969 0.070312 0.101562]
 [0.       0.650391 0.421875 0.089844 0.148438]
 [0.       0.361328 0.335938 0.082031 0.125   ]
 [0.       0.259766 0.203125 0.097656 0.117188]
 [0.       0.132812 0.148438 0.109375 0.15625 ]]",9,"[[[200 200 200]
  [195 195 195]
  [190 190 190]
  ...
  [111 111 111]
  [103 103 103]
  [120 120 120]]

 [[171 171 171]
  [171 171 171]
  [153 153 153]
  ...
  [143 143 143]
  [114 114 114]
  [141 141 141]]

 [[170 170 170]
  [151 151 151]
  [152 152 152]
  ...
  [153 153 153]
  [118 118 118]
  [133 133 133]]

 ...

 [[178 178 178]
  [175 175 175]
  [176 176 176]
  ...
  [180 180 180]
  [162 162 162]
  [161 161 161]]

 [[199 199 199]
  [192 192 192]
  [182 182 182]
  ...
  [151 151 151]
  [182 182 182]
  [175 175 175]]

 [[168 168 168]
  [152 152 152]
  [159 159 159]
  ...
  [160 160 160]
  [191 191 191]
  [159 159 159]]]"
6,0008_resize.jpg,0008_resize.txt,"[[0.       0.820312 0.429688 0.171875 0.171875]
 [0.       0.582031 0.251953 0.117188 0.128906]
 [0.       0.537109 0.417969 0.097656 0.148438]
 [0.       0.751953 0.75     0.082031 0.179688]]",4,"[[[210 210 210]
  [211 211 211]
  [210 210 210]
  ...
  [212 212 212]
  [210 210 210]
  [203 203 203]]

 [[210 210 210]
  [211 211 211]
  [211 211 211]
  ...
  [212 212 212]
  [203 203 203]
  [205 205 205]]

 [[210 210 210]
  [211 211 211]
  [211 211 211]
  ...
  [206 206 206]
  [216 216 216]
  [219 219 219]]

 ...

 [[225 225 225]
  [227 227 227]
  [226 226 226]
  ...
  [222 222 222]
  [232 232 232]
  [218 218 218]]

 [[225 225 225]
  [225 225 225]
  [226 226 226]
  ...
  [225 225 225]
  [230 230 230]
  [224 224 224]]

 [[222 222 222]
  [222 222 222]
  [217 217 217]
  ...
  [233 233 233]
  [230 230 230]
  [219 219 219]]]"
7,0009_resize.jpg,0009_resize.txt,"[[0.       0.710938 0.597656 0.09375  0.125   ]
 [0.       0.464844 0.826172 0.078125 0.113281]
 [0.       0.320312 0.787109 0.101562 0.097656]
 [0.       0.490234 0.597656 0.058594 0.070312]
 [0.       0.433594 0.710938 0.0625   0.070312]
 [0.       0.777344 0.773438 0.0625   0.132812]
 [0.       0.953125 0.902344 0.070312 0.109375]
 [0.       0.816406 0.390625 0.0625   0.140625]
 [0.       0.558594 0.425781 0.078125 0.117188]
 [0.       0.638672 0.183594 0.058594 0.085938]
 [0.       0.884766 0.517578 0.066406 0.136719]
 [0.       0.71875  0.884766 0.109375 0.066406]
 [0.       0.857422 0.71875  0.097656 0.117188]]",13,"[[[211 211 211]
  [211 211 211]
  [211 211 211]
  ...
  [165 165 165]
  [163 163 163]
  [153 153 153]]

 [[210 210 210]
  [211 211 211]
  [212 212 212]
  ...
  [161 161 161]
  [162 162 162]
  [160 160 160]]

 [[210 210 210]
  [211 211 211]
  [212 212 212]
  ...
  [158 158 158]
  [161 161 161]
  [160 160 160]]

 ...

 [[165 165 165]
  [161 161 161]
  [154 154 154]
  ...
  [140 140 140]
  [138 138 138]
  [140 140 140]]

 [[161 161 161]
  [157 157 157]
  [151 151 151]
  ...
  [140 140 140]
  [139 139 139]
  [139 139 139]]

 [[160 160 160]
  [155 155 155]
  [152 152 152]
  ...
  [141 141 141]
  [140 140 140]
  [138 138 138]]]"
8,0010_resize.jpg,0010_resize.txt,"[[0.       0.265625 0.3125   0.164062 0.179688]
 [0.       0.173828 0.865234 0.160156 0.144531]
 [0.       0.363281 0.791016 0.15625  0.121094]
 [0.       0.75     0.679688 0.140625 0.140625]
 [0.       0.613281 0.728516 0.09375  0.121094]
 [0.       0.878906 0.207031 0.164062 0.171875]
 [0.       0.396484 0.125    0.128906 0.171875]
 [0.       0.498047 0.943359 0.113281 0.113281]]",8,"[[[140 140 140]
  [ 98  98  98]
  [ 97  97  97]
  ...
  [177 177 175]
  [178 178 176]
  [198 198 196]]

 [[166 166 166]
  [ 98  98  98]
  [ 99  99  99]
  ...
  [175 175 173]
  [176 176 174]
  [175 175 173]]

 [[155 155 155]
  [125 125 125]
  [ 96  96  96]
  ...
  [186 186 184]
  [154 154 152]
  [127 127 125]]

 ...

 [[215 215 215]
  [212 212 212]
  [209 209 209]
  ...
  [115 115 113]
  [123 123 121]
  [133 133 131]]

 [[214 214 214]
  [205 205 205]
  [208 208 208]
  ...
  [123 123 121]
  [135 135 133]
  [140 140 138]]

 [[214 214 214]
  [206 206 206]
  [203 203 203]
  ...
  [140 140 138]
  [138 138 136]
  [132 132 130]]]"
9,0011_resize.jpg,0011_resize.txt,[[0.       0.445312 0.386719 0.132812 0.226562]],1,"[[[151 151 151]
  [169 169 169]
  [225 225 225]
  ...
  [178 178 178]
  [179 179 179]
  [178 178 178]]

 [[151 151 151]
  [141 141 141]
  [202 202 202]
  ...
  [165 165 165]
  [172 172 172]
  [171 171 171]]

 [[174 174 174]
  [156 156 156]
  [186 186 186]
  ...
  [156 156 156]
  [170 170 170]
  [166 166 166]]

 ...

 [[221 221 221]
  [218 218 218]
  [205 205 205]
  ...
  [205 205 205]
  [206 206 206]
  [188 188 188]]

 [[217 217 217]
  [193 193 193]
  [194 194 194]
  ...
  [206 206 206]
  [194 194 194]
  [206 206 206]]

 [[194 194 194]
  [187 187 187]
  [183 183 183]
  ...
  [200 200 200]
  [187 187 187]
  [207 207 207]]]"
